0.1 7.05367
0.2 3.51928
0.3 2.35437
0.4 1.76188
0.5 1.41182
0.6 1.18599
0.7 1.20433
0.8 1.65474
0.9 1.82645
1 1.87246
1.1 1.84324
1.2 1.79341
1.3 1.71755
1.4 1.64838
1.5 1.56519
1.6 1.48844
1.7 1.42284
1.8 1.3516
1.9 1.28913
2 1.22953
2.1 1.17076
2.2 1.11858
2.3 1.07013
2.4 1.02297
2.5 0.979838
2.6 0.939688
2.7 0.901822
2.8 0.866412
2.9 0.83283
3 0.803096
3.1 0.771425
3.2 0.744078
3.3 0.717336
3.4 0.691734
3.5 0.666545
3.6 0.644485
3.7 0.621364
3.8 0.602654
3.9 0.582178
4 0.564241
4.1 0.546095
4.2 0.528677
4.3 0.512058
4.4 0.496864
4.5 0.480994
4.6 0.466514
4.7 0.452204
4.8 0.439177
4.9 0.426043
5 0.413926
5.1 0.40157
5.2 0.3908
5.3 0.379179
5.4 0.368007
5.5 0.357716
5.6 0.347786
5.7 0.337591
5.8 0.328142
5.9 0.319431
6 0.309619
6.1 0.301147
6.2 0.2926
6.3 0.284274
6.4 0.276579
6.5 0.268387
6.6 0.261107
6.7 0.253127
6.8 0.246481
6.9 0.23934
7 0.232928
7.1 0.225861
7.2 0.219086
7.3 0.212485
7.4 0.206202
7.5 0.200101
7.6 0.19399
7.7 0.188018
7.8 0.182492
7.9 0.17692
8 0.171734
8.1 0.166305
8.2 0.160749
8.3 0.156018
8.4 0.151146
8.5 0.146068
8.6 0.141849
8.7 0.136759
8.8 0.132313
8.9 0.127611
9 0.123697
9.1 0.119459
9.2 0.115235
9.3 0.11098
9.4 0.107112
9.5 0.103371
9.6 0.0997918
9.7 0.0963029
9.8 0.092803
9.9 0.0894576
10 0.0857946
