0.1 7.05073
0.2 3.51927
0.3 2.35093
0.4 1.77162
0.5 1.42424
0.6 1.3167
0.7 163.16
0.8 233.317
0.9 218.27
1 199.141
1.1 182.338
1.2 167.387
1.3 155.593
1.4 144.864
1.5 135.32
1.6 126.689
1.7 119.391
1.8 112.995
1.9 106.941
2 101.526
2.1 97.0377
2.2 92.6908
2.3 88.5245
2.4 84.8956
2.5 81.5625
2.6 78.4429
2.7 75.5016
2.8 72.7467
2.9 70.2633
3 67.8989
3.1 65.7332
3.2 63.6887
3.3 61.7428
3.4 59.8976
3.5 58.2085
3.6 56.5263
3.7 55.0749
3.8 53.6517
3.9 52.2426
4 50.9785
4.1 49.6283
4.2 48.4727
4.3 47.3565
4.4 46.2571
4.5 45.3003
4.6 44.2238
4.7 43.3022
4.8 42.4403
4.9 41.5055
5 40.708
5.1 39.9034
5.2 39.0827
5.3 38.3807
5.4 37.665
5.5 36.9771
5.6 36.2848
5.7 35.6616
5.8 35.047
5.9 34.469
6 33.8435
6.1 33.3058
6.2 32.7829
6.3 32.239
6.4 31.7033
6.5 31.2615
6.6 30.7779
6.7 30.3101
6.8 29.8745
6.9 29.4344
7 29.0013
7.1 28.6008
7.2 28.2016
7.3 27.8287
7.4 27.4347
7.5 27.0756
7.6 26.7281
7.7 26.3674
7.8 26.0181
7.9 25.7016
8 25.3767
8.1 25.0709
8.2 24.7639
8.3 24.4649
8.4 24.1727
8.5 23.8864
8.6 23.5975
8.7 23.3291
8.8 23.0594
8.9 22.7966
9 22.5389
9.1 22.2995
9.2 22.0503
9.3 21.806
9.4 21.5693
9.5 21.3502
9.6 21.1159
9.7 20.8965
9.8 20.6862
9.9 20.4753
10 20.2614
